ALWNC_DE,ALWNC_RESN,BSI_INT,ENG_RN,MVMN_DE,MVMN_RESN,MVM_RES_CD,NTFC_DE,OPERT_DE,RBP_CN,RDS_DPN_SE,RDS_MAN_NO,REP_CN,RN,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,SIG_CD,WDR_RD_CD,starbucks_,starbuck_1,starbuck_2,starbuck_3,starbuck_4
"20100524","방배동을 통과하는 하천의 이름에서 유래되었고, 위치예측성이 높아서 도로명 부여","20",Bangbaecheon-ro,"20141030",직권수정(속성변경),"99","20100617","20190508152508",방배동 504-1,"1","2109",방배동 819-34,방배천로,"3121012",12.00000000,92.00000000,"3","11650","3",사당로데오,서울특별시 서초구 방배천로 5-4(방배동)1522-3232,"37.4772752","126.9821605",
"20100503",인근에 위치한 청계산의 명칭을 사용,"20",Cheonggyesan-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20090710","20141030225559",원지동 528-8,"1","615",원지동 521-3,청계산로,"3000031",6.00000000,7612.00000000,"3","11650","1",청계산입구역,서울특별시 서초구 청계산로 203 (신원동)1522-3232,"37.447323","127.05625",
"20100503",인근에 위치한 청계산의 명칭을 사용,"20",Cheonggyesan-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20090710","20141030225559",신원동 518-11,"1","621",원지동 113-1,청계산로,"3000031",4.00000000,7612.00000000,"3","11650","1",청계산입구역,서울특별시 서초구 청계산로 203 (신원동)1522-3232,"37.447323","127.05625",
"20100503",인근에 위치한 청계산의 명칭을 사용,"20",Cheonggyesan-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20090710","20141030225559",신원동 501-18,"1","624",신원동 136-1,청계산로,"3000031",2.00000000,7612.00000000,"3","11650","1",청계산입구역,서울특별시 서초구 청계산로 203 (신원동)1522-3232,"37.447323","127.05625",
"20100503",인근에 위치한 청계산의 명칭을 사용,"20",Cheonggyesan-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20090710","20141030225559",신원동 548-15,"1","625",원지동 15-4,청계산로,"3000031",4.00000000,7612.00000000,"3","11650","1",청계산입구역,서울특별시 서초구 청계산로 203 (신원동)1522-3232,"37.447323","127.05625",
"20100503",방배역 인근 조선시대 효령대군의 묘가 있는 역사성 반영,"10",Hyoryeong-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100422","20141030225607",방배동 504-1,"1","202",서초동 1340-6,효령로,"3121021",30.00000000,53.00000000,"3","11650","3",남부터미널2,서울특별시 서초구 효령로 274 (서초동)1522-3232,"37.48436736","127.0142192",
"20100503",인근에 위치한 청계산의 명칭을 사용,"20",Cheonggyesan-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20090710","20141030225559",원지동 102-8,"1","626",원지동 60,청계산로,"3000031",8.00000000,7612.00000000,"3","11650","1",청계산입구역,서울특별시 서초구 청계산로 203 (신원동)1522-3232,"37.447323","127.05625",
"20100419",청계천의 수표다리 명칭 인용,"10",Supyo-ro,,기재내용정정,"71","20100422","20181106092016",서울특별시 중구 충무로3가 60-1 (퇴계로),"1","370",서울특별시 종로구 관수동 130-7 (종로세무서 앞),수표로,"3005006",13.00000000,1350.00000000,"3","11110","2",중구저동,서울특별시 중구 수표로 34 (저동2가)1522-3232,"37.5643686","126.9903382",
"20100419",행정구역 명칭 사용,"20",Myeonmok-ro,,"광역도로 정비 및 부여사유, 부여방식 정비","90","20100422","20141030215735",면목동392-41,"1","2263",상봉동101-14,면목로,"3005027",3.00000000,5100.00000000,"3","11260","2",사가정역,서울특별시 중랑구 면목로 3101522-3232,"37.579594","127.087966",
"20100503",인근에 위치한 청계산의 명칭을 사용,"20",Cheonggyesan-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20090710","20141030225559",염곡동 305,"0","405",신원동 66-8,청계산로,"3000031",15.00000000,7612.00000000,"3","11650","1",청계산입구역,서울특별시 서초구 청계산로 203 (신원동)1522-3232,"37.447323","127.05625",
"20100419",조선시대부터 형성된 도로의 역사성 인용,"10",Jong-ro,"20110303",직권수정(속성변경),"99","20100422","20160920164354",세종로 1-68,"1","361",숭인동 1493,종로,"3100013",40.00000000,89.00000000,"3","11110","3",종로3가,"서울특별시 종로구 종로 113-1, 1-4층 (종로3가)1522-3232","37.5705527","126.9902055",
"20100419",조선시대부터 형성된 도로의 역사성 인용,"10",Jong-ro,"20110303",직권수정(속성변경),"99","20100422","20160920164354",세종로 1-68,"1","362",숭인동 1493,종로,"3100013",40.00000000,43.00000000,"3","11110","3",종로3가,"서울특별시 종로구 종로 113-1, 1-4층 (종로3가)1522-3232","37.5705527","126.9902055",
"20090710",서울의 남쪽을 연결하는 도로,"10",Nambusunhwan-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100315","20141030225217",신림동 1673,"1","1903",남현동 1130-1,남부순환로,"2000003",3.00000000,32620.00000000,"2","11620","1",신월동DT,서울특별시 양천구 남부순환로 319 (신월동)1522-3232,"37.53829235","126.8271014",
"20100422",옛 행정동 이었던 삼양동 인용,"10",Samyang-ro,"20141117",누락된 부여일자 입력,"71","20100422","20181024144030",서울특별시 성북구 길음동 1164-6 (미아로),"1","1759",서울특별시 강북구 우이동 207-14,삼양로,"3005041",3.00000000,6700.00000000,"3","11305","2",미아뉴타운,서울특별시 강북구 삼양로 161 (미아동)1522-3232,"37.618319","127.021072",
"20100422",옛 행정동 이었던 삼양동 인용,"10",Samyang-ro,"20141117",누락된 부여일자 입력,"71","20100422","20181024144030",서울특별시 성북구 길음동 1164-6 (미아로),"1","1760",서울특별시 강북구 우이동 207-14,삼양로,"3005041",3.00000000,6700.00000000,"3","11305","2",미아뉴타운,서울특별시 강북구 삼양로 161 (미아동)1522-3232,"37.618319","127.021072",
"20100422",옛 행정동 이었던 삼양동 인용,"10",Samyang-ro,"20141117",누락된 부여일자 입력,"71","20100422","20181024144030",서울특별시 성북구 길음동 1164-6 (미아로),"1","1763",서울특별시 강북구 우이동 207-14,삼양로,"3005041",2.00000000,6700.00000000,"3","11305","2",미아뉴타운,서울특별시 강북구 삼양로 161 (미아동)1522-3232,"37.618319","127.021072",
"20090710",서울에서 인천을 연결하는 도로,"10",Gyeongin-ro,"20150122",직권수정(속성변경),"99","20090710","20190829171359",오류동 6-2,"1","1420",오류동 66-8,경인로,"3000028",6.00000000,28004.00000000,"3","11530","1",현대디큐브B2,서울특별시 구로구 경인로 662 (신도림동)1522-3232,"37.508828","126.889488",
"20090710",서울에서 인천을 연결하는 도로,"10",Gyeongin-ro,"20150122",직권수정(속성변경),"99","20090710","20190829171359",오류동 6-2,"1","1424",오류동 331-37,경인로,"3000028",5.00000000,28004.00000000,"3","11530","1",현대디큐브B2,서울특별시 구로구 경인로 662 (신도림동)1522-3232,"37.508828","126.889488",
"20100616","토정 이지함 선생의 호를 인용, 현재도 토정거리 축제가 열리는 등 지명도가 높아 명명함","10",Tojeong-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100617","20141030223919",합정동 139-21,"1","147",마포동 34-1,토정로,"3113023",2.00000000,45.00000000,"3","11440","3",마포용강동,서울특별시 마포구 토정로 295 (용강동)1522-3232,"37.541186","126.942209",
"20100616","토정 이지함 선생의 호를 인용, 현재도 토정거리 축제가 열리는 등 지명도가 높아 명명함","10",Tojeong-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100617","20141030223919",합정동 139-21,"1","148",마포동 34-1,토정로,"3113023",4.00000000,75.00000000,"3","11440","3",마포용강동,서울특별시 마포구 토정로 295 (용강동)1522-3232,"37.541186","126.942209",
"20100616","토정 이지함 선생의 호를 인용, 현재도 토정거리 축제가 열리는 등 지명도가 높아 명명함","10",Tojeong-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100617","20141030223919",합정동 139-21,"1","149",마포동 34-1,토정로,"3113023",4.00000000,74.00000000,"3","11440","3",마포용강동,서울특별시 마포구 토정로 295 (용강동)1522-3232,"37.541186","126.942209",
"20090701",마포구의 주요도로,"10",Mapo-daero,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20090710","20141030223913",마포동 49,"1","1968",아현동 694,마포대로,"2113001",4.00000000,63.00000000,"2","11440","3",마포아크로,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워1522-3232,"37.54145556","126.948819",
"20100616","토정 이지함 선생의 호를 인용, 현재도 토정거리 축제가 열리는 등 지명도가 높아 명명함","10",Tojeong-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100617","20141030223919",합정동 139-21,"1","151",마포동 34-1,토정로,"3113023",3.00000000,47.00000000,"3","11440","3",마포용강동,서울특별시 마포구 토정로 295 (용강동)1522-3232,"37.541186","126.942209",
"20100616","토정 이지함 선생의 호를 인용, 현재도 토정거리 축제가 열리는 등 지명도가 높아 명명함","10",Tojeong-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100617","20141030223919",합정동 139-21,"1","153",마포동 34-1,토정로,"3113023",4.00000000,84.00000000,"3","11440","3",마포용강동,서울특별시 마포구 토정로 295 (용강동)1522-3232,"37.541186","126.942209",
"20100616","토정 이지함 선생의 호를 인용, 현재도 토정거리 축제가 열리는 등 지명도가 높아 명명함","10",Tojeong-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100617","20141030223919",합정동 139-21,"2","155",마포동 34-1,토정로,"3113023",3.00000000,32.00000000,"3","11440","3",마포용강동,서울특별시 마포구 토정로 295 (용강동)1522-3232,"37.541186","126.942209",
"20100419","관악구 구명에서 유래되었으며, 1972년 가로명으로 부여 현재 사용중인 도로명 인용","10",Gwanak-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100422","20141030225222",신림동 155-1,"1","3157",봉천동 1000,관악로,"3120001",4.00000000,85.00000000,"3","11620","3",관악서울대입구R,서울특별시 관악구 관악로 158 (봉천동)1522-3232,"37.479343","126.95278",
"20100616","토정 이지함 선생의 호를 인용, 현재도 토정거리 축제가 열리는 등 지명도가 높아 명명함","10",Tojeong-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100617","20141030223919",합정동 139-21,"1","2292",마포동 34-1,토정로,"3113023",3.00000000,37.00000000,"3","11440","3",마포용강동,서울특별시 마포구 토정로 295 (용강동)1522-3232,"37.541186","126.942209",
"20100616","월드컵경기장의 북쪽에 위치한 도로로서, 월드컵을 인용하여 부여함","20",World Cup buk-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100617","20141030223918",동교동 160-5,"1","2301",상암동 656,월드컵북로,"3113019",5.00000000,46.00000000,"3","11440","3",상암DMC,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)1522-3232","37.577623","126.890684",
"20100616",신촌로에서 분기되는 도로,"10",Sinchon-ro 16-gil,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100617","20141030223917",노고산동 49-1,"0","1255",노고산동 56-90,신촌로16길,"4139395",8.00000000,266.00000000,"4","11440","3",신촌오거리,서울특별시 마포구 신촌로16길 10 (노고산동)1522-3232,"37.555137","126.934694",
"20090710",서울에서 인천을 연결하는 도로,"20",Gyeongin-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20090710","20141030224639",문래동1가 97-1,"1","3382",여의도동 28-3,경인로,"3000028",4.00000000,28004.00000000,"3","11560","1",현대디큐브B2,서울특별시 구로구 경인로 662 (신도림동)1522-3232,"37.508828","126.889488",
"20100520",양평동 동명칭 인용,"20",Yangpyeong-ro,"20190530",도로구간변경,"12","20100527","20190530111841",영등포동8가 86,"1","1029",양평동 501,양평로,"3118017",8.00000000,58.00000000,"3","11560","3",당산역사거리,서울특별시 영등포구 양평로 47 (당산동5가)1522-3232,"37.533984","126.901156",
"20090710",디지털단지의 상징성 및 접근성,"20",Digital-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20090710","20141030224632",대림동 1117,"1","397",대림동 909-2,디지털로,"3000026",4.00000000,4667.00000000,"3","11560","1",구로에이스,"서울특별시 구로구 디지털로 285, 에이스트윈타워1차 103호 (구로동)1522-3232","37.48448329","126.8944957",
"20100419",서울성곽 4소문(四小門) 중의 하나인 혜화문(惠化門)의 다른 이름인 ‘동소문(東小門)’을 따서 부여,"10",Dongsomun-ro,"20100910","광역도로 정비 및 부여사유, 부여방식 정비","90","20100422","20141030220128",동소문동1가 17대,"1","4562",길음동 860-64천,동소문로,"3107003",5.00000000,62.00000000,"3","11290","3",현대미아,서울특별시 성북구 동소문로 315 (길음동) 지하1층1522-3232,"37.60837822","127.0287483",동소문로 315 (길
"20090710",지역명칭 사용,"10",Dobong-ro,"20141117",누락된 부여일자 입력,"71","20090710","20181109122747",서울특별시 성북구 길음동 14-1,"2","2830",서울특별시 도봉구 도봉동 377-1,도봉로,"3005039",4.00000000,9840.00000000,"3","11290","2",미아이마트,서울특별시 성북구 도봉로 17 1522-3232,"37.610678","127.029921",
"20090701",태조 이성계 무덤에서 유래된 역사성 반영,"20",Mangu-ro,"20130313",직권수정(속성변경),"99","20090710","20190610141701",휘경동 343-23,"1","378",휘경동 7-42,망우로,"3005032",4.00000000,6.00000000,"3","11230","2",상봉역,서울특별시 중랑구 망우로 307 (상봉동)1522-3232,"37.59689","127.08647",
"20100419",서울성곽 4소문(四小門) 중의 하나인 혜화문(惠化門)의 다른 이름인 ‘동소문(東小門)’을 따서 부여,"10",Dongsomun-ro,"20100910","광역도로 정비 및 부여사유, 부여방식 정비","90","20100422","20141030220128",동소문동1가 17대,"2","4561",길음동 860-64천,동소문로,"3107003",2.00000000,55.00000000,"3","11290","3",현대미아,서울특별시 성북구 동소문로 315 (길음동) 지하1층1522-3232,"37.60837822","127.0287483",동소문로 315 (길
"20100520",선유로의 동쪽에 위치한 도로,"20",Seonyudong 2-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100527","20141030224646",양평동3가 77-80,"0","3465",양평동4가 27-2,선유동2로,"3118012",20.00000000,802.00000000,"3","11560","3",선유동이레빌딩,서울특별시 영등포구 선유동2로 57 (양평제1동) 이레빌딩1522-3232,"37.534109","126.896912",
"20100419",도로구간에 위치한 창덕궁의 정문인 돈화문의 역사성 반영,"10",Donhwamun-ro,,"광역도로 정비 및 부여사유, 부여방식 정비","90","20100422","20141030214622",묘동 164-1,"1","383",묘동 164-2,돈화문로,"3100003",1.00000000,28.00000000,"3","11110","3",서울극장,서울특별시 종로구 돈화문로 13 (관수동) 서울극장1522-3232,"37.56975769","126.9917911",
"20100419",청계천을 따라 조성된 도로의 특성을 반영하여 청계천 명칭을 인용,"10",Cheonggyecheon-ro,,기재내용정정,"71","20100422","20181106092040",서울특별시 종로구 세종로 139(동아미디어센터),"1","1775",서울특별시 동대문구 답십리동 463-13(신답초등학교),청계천로,"3100021",5.00000000,5900.00000000,"3","11110","2",황학캐슬,서울특별시 중구 청계천로 400 (황학동) 롯데캐슬베네치아1522-3232,"37.57124","127.022905",
"20100628",법정동(동숭동) 명칭 인용,"8",Dongsung-gil,"20150416",기초구간 간격 조정,"12","20100702","20150416100413",연건동 1-3,"1","384",동숭동 67-6,동숭길,"4100075",5.00000000,796.00000000,"4","11110","3",동숭로아트,서울특별시 종로구 동숭길 110 (동숭동)1522-3232,"37.582969","127.003876",
,행정구역명칭 인용,"10",Sinchon-ro,"20141117",광역도로 정비,"90","20100422","20141117102054",동교동 173-17,"2","3423",아현동 91-14,신촌로,"3005057",3.00000000,3300.00000000,"3","11440","2",현대신촌,서울특별시 서대문구 신촌로 83 (창천동)1522-3232,"37.55608306","126.9358449",
"20110224",1972년 서울시에서 가로명으로 부여하여 현재 사용중인 도로명 인용,"10",Sillim-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20110303","20141030225233",신림동 155-1,"1","2742",봉천동 1698-1,신림로,"3120005",2.00000000,108.00000000,"3","11620","3",신림역포도몰,"서울특별시 관악구 신림로 330, PODO MALL 1층 101 일부 (신림동)1522-3232","37.48385383","126.9301799",
"20100616","월드컵경기장의 북쪽에 위치한 도로로서, 월드컵을 인용하여 부여함","20",World Cup buk-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100617","20141030223918",동교동 160-5,"1","3004",상암동 656,월드컵북로,"3113019",6.00000000,45.00000000,"3","11440","3",상암DMC,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)1522-3232","37.577623","126.890684",
"20100503",방배역 인근 조선시대 효령대군의 묘가 있는 역사성 반영,"10",Hyoryeong-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100422","20141030225607",방배동 504-1,"1","199",서초동 1340-6,효령로,"3121021",30.00000000,86.00000000,"3","11650","3",남부터미널2,서울특별시 서초구 효령로 274 (서초동)1522-3232,"37.48436736","127.0142192",
"20090701",마포구의 주요도로,"10",Mapo-daero,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20090710","20141030223913",마포동 49,"2","3424",아현동 694,마포대로,"2113001",4.00000000,28.00000000,"2","11440","3",마포아크로,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워1522-3232,"37.54145556","126.948819",
"20100503",방배역 인근 조선시대 효령대군의 묘가 있는 역사성 반영,"10",Hyoryeong-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100422","20141030225607",방배동 504-1,"1","194",서초동 1340-6,효령로,"3121021",30.00000000,74.00000000,"3","11650","3",남부터미널2,서울특별시 서초구 효령로 274 (서초동)1522-3232,"37.48436736","127.0142192",
"20090701",여의도의 주요도로,"20",Yeoui-daero,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20090710","20141030224649",여의도동 28-3,"0","3287",여의도동 86-4,여의대로,"2118001",40.00000000,2653.00000000,"2","11560","3",더현대서울(B2)R,서울특별시 영등포구 여의대로 108 (여의도동)1522-3232,"37.5264","126.92877",
"20090710",서울의 남쪽을 연결하는 도로,"10",Nambusunhwan-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100315","20141030225216",신림동 1673,"1","1373",남현동 1130-1,남부순환로,"2000003",2.00000000,32620.00000000,"2","11620","1",신월동DT,서울특별시 양천구 남부순환로 319 (신월동)1522-3232,"37.53829235","126.8271014",
"20100616",와우산로의 가로명은  1984년11월7일에 처음으로 제정되었으며 그이름은 인근에 있는 와우산에서 연유되었다.,"10",Wausan-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100617","20141030223918",상수동 395,"1","3426",동교동 183-1,와우산로,"3113017",6.00000000,61.00000000,"3","11440","3",홍대삼거리,서울특별시 마포구 와우산로 64 (상수동)1522-3232,"37.550266","126.923179",
"20100616",옛날 독을 굽던 곳이라하여 독마을이라 불리던 것이 현재는 독막으로 불리게 되어 명명함.,"10",Dongmak-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100617","20141030223913",합정동 414-25,"1","3427",도화동 556,독막로,"3113005",2.00000000,28.00000000,"3","11440","3",상수역,서울특별시 마포구 독막로 88 (상수동)1522-3232,"37.5474817","126.9232158",
"20100616","토정 이지함 선생의 호를 인용, 현재도 토정거리 축제가 열리는 등 지명도가 높아 명명함","10",Tojeong-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100617","20141030223919",합정동 139-21,"2","3430",마포동 34-1,토정로,"3113023",4.00000000,26.00000000,"3","11440","3",마포용강동,서울특별시 마포구 토정로 295 (용강동)1522-3232,"37.541186","126.942209",
